,Blocking_patent,Blocking_action,Blocked_app
871,7200363,102b,12495881
872,7200363,103a,12495881
873,7471749,103a,12065588
874,6223291,103a,13413173
875,6223291,103a,13413173
876,6223291,103a,13413173
877,6223291,103a,13413173
878,6223291,103a,13413173
879,6807527,103a,12748565
880,6101175,103a,11739674
881,6101175,103a,11739674
882,6101175,103a,11739674
883,7024207,103a,12187775
884,7024207,103a,12187775
885,6661371,103a,13014355
886,7933238,101,13357430
887,7933238,101,13357425
888,6606483,103a,11599393
889,6606483,119,12957856
890,6606483,102b,13133792
891,6005498,103a,12395012
892,6764788,112,12907648
893,7061879,102,11856788
894,6958984,103a,11562979
895,6958984,102b,13564068
896,6842484,119a,12906761
897,6842484,103a,12906761
898,6819083,103a,12436562
899,6819083,103a,12330875
900,6259733,102b,12308907
901,7180875,103a,12470616
902,6944137,119a,11965875
903,6944137,103a,11965875
904,7796639,103a,12934919
905,6134121,103a,13270414
906,5640166,102a,10992173
907,5640166,103a,10992173
908,5640166,103a,10992173
909,7787421,103a,12497172
910,7149521,103a,12475942
911,7149521,103a,12475942
912,7149521,103a,12475942
913,7149521,103a,12475942
914,7035270,103a,12360107
915,6104993,103,13024135
916,6104993,103a,13024135
917,6078809,103a,10626048
918,6072831,103a,11396568
919,6072831,103a,10989886
920,6072831,103a,10934118
921,6072831,103a,12158245
922,6072831,103a,11396568
923,6822974,103a,12130305
924,6822974,103a,12130305
925,8131286,103a,12715920
926,7190263,102b,12080524
927,7190263,102b,12080524
928,7190263,103a,12603208
929,7159120,103a,11493952
930,7159120,103a,12728624
931,7159120,102e,12728624
932,7159120,103a,11857383
933,7159120,103a,12120165
934,7159120,103a,12120165
935,7159120,103a,11493952
936,7159120,103,11634371
937,7271948,102e,12138977
938,7271948,103a,12138977
939,7271948,103a,12138977
940,7271948,119,12138977
941,6275536,103a,11381780
942,6275536,103a,11381780
943,6275536,103a,11381780
944,6275536,102e,11256565
945,5812542,103a,12901616
946,7199762,102e,13209325
