,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
542,8818334,0,0,0.0,0
543,7395065,0,6,0.0,0
544,8325147,0,1,0.0,0
545,7640373,5,24,0.20833333333299997,2
546,9049202,0,0,0.0,0
547,5978526,0,1,0.0,0
548,5822314,0,10,0.0,0
549,9140794,0,0,0.0,0
550,8144687,0,1,0.0,0
551,5754953,1,5,0.2,1
552,8451833,0,0,0.0,0
553,7187767,0,2,0.0,0
554,6813778,0,11,0.0,0
555,5945772,0,16,0.0,0
556,8904424,0,0,0.0,0
557,8509319,0,0,0.0,0
558,7266198,5,13,0.38461538461499994,3
559,8725500,0,0,0.0,0
560,8045501,0,0,0.0,0
561,7676583,1,21,0.047619047619,1
562,7480345,0,0,0.0,0
563,6085252,0,38,0.0,0
564,7102562,0,5,0.0,0
565,6404764,1,53,0.0188679245283,1
566,7027979,0,6,0.0,0
567,5893036,1,11,0.0909090909091,1
568,9092612,0,0,0.0,0
569,6961427,1,2,0.5,1
570,6049707,3,22,0.13636363636399998,2
571,7821996,1,4,0.25,1
572,6170005,4,15,0.266666666667,3
573,6934299,0,24,0.0,0
574,5818887,1,4,0.25,1
575,6819173,0,0,0.0,0
576,8988387,0,0,0.0,0
577,7853280,0,1,0.0,0
578,8397982,0,2,0.0,0
579,7492752,0,11,0.0,0
580,6141564,0,33,0.0,0
581,6927747,0,11,0.0,0
582,6463275,0,8,0.0,0
583,7558587,2,9,0.222222222222,1
584,7463979,0,3,0.0,0
585,6631127,0,13,0.0,0
586,7548548,0,7,0.0,0
587,6304558,0,12,0.0,0
588,6151362,2,2,1.0,1
589,6031467,0,22,0.0,0
590,7482985,0,0,0.0,0
591,6198782,0,4,0.0,0
592,8976957,0,0,0.0,0
593,6323849,0,26,0.0,0
594,6865384,2,53,0.0377358490566,1
595,7331793,1,36,0.0277777777778,1
596,5936464,0,44,0.0,0
597,8019340,0,0,0.0,0
598,6532156,0,0,0.0,0
599,7823155,0,12,0.0,0
600,9065656,0,0,0.0,0
601,5884772,0,4,0.0,0
602,7085576,4,30,0.133333333333,2
603,7653383,3,10,0.3,1
604,7548859,0,2,0.0,0
605,6453040,0,2,0.0,0
606,7019491,3,5,0.6,1
607,7884869,0,0,0.0,0
608,6363246,0,14,0.0,0
609,7890090,0,1,0.0,0
610,7027824,0,0,0.0,0
611,9152212,0,0,0.0,0
612,7688760,0,2,0.0,0
613,7426175,1,23,0.0434782608696,1
614,8810519,0,0,0.0,0
615,8111757,0,0,0.0,0
616,7058408,0,3,0.0,0
617,6353742,0,7,0.0,0
618,6169886,1,5,0.2,1
619,6256494,0,10,0.0,0
620,8891617,0,0,0.0,0
621,5745566,0,3,0.0,0
622,5738583,4,148,0.027027027026999998,3
623,7496366,0,2,0.0,0
624,7082311,0,4,0.0,0
625,5854785,3,10,0.3,2
626,6011699,7,48,0.145833333333,5
627,6307901,0,41,0.0,0
628,7212843,0,2,0.0,0
629,6002342,0,1,0.0,0
630,6546102,0,0,0.0,0
631,7290122,0,3,0.0,0
632,6289377,0,12,0.0,0
633,5991285,5,3,1.6666666666699999,1
634,6118081,0,1,0.0,0
635,6065187,0,4,0.0,0
636,8767632,1,0,0.0,1
637,7477690,3,3,1.0,1
638,8078553,0,0,0.0,0
639,5905956,0,6,0.0,0
640,7418011,0,1,0.0,0
641,9002368,0,0,0.0,0
642,8478231,0,0,0.0,0
643,7116940,0,3,0.0,0
644,6643503,1,6,0.166666666667,1
645,8351536,0,18,0.0,0
646,8374328,0,1,0.0,0
647,7193620,0,4,0.0,0
648,6097973,0,4,0.0,0
649,8295248,0,0,0.0,0
650,6760589,1,3,0.33333333333299997,1
651,8107878,0,0,0.0,0
652,5923266,0,0,0.0,0
653,9192084,0,0,0.0,0
654,7330733,0,2,0.0,0
655,8963885,0,0,0.0,0
656,5901357,1,15,0.06666666666669999,1
