"","pub_year","cit_month","count"
"626","2000",2013-08-01,117
"627","2001",2013-08-01,128
"628","2002",2013-08-01,69
"629","2003",2013-08-01,80
"630","2004",2013-08-01,100
"631","2005",2013-08-01,73
"632","2006",2013-08-01,90
"633","2007",2013-08-01,63
"634","2008",2013-08-01,38
"635","2009",2013-08-01,37
"636","2010",2013-08-01,40
"637","2011",2013-08-01,21
"638","2012",2013-08-01,15
"639","2013",2013-08-01,3
"640","2014",2013-08-01,0
"641","1994",2013-09-01,0
"642","1996",2013-09-01,0
"643","1997",2013-09-01,12
"644","1998",2013-09-01,79
"645","1999",2013-09-01,141
"646","2000",2013-09-01,122
"647","2001",2013-09-01,105
"648","2002",2013-09-01,90
"649","2003",2013-09-01,85
"650","2004",2013-09-01,110
"651","2005",2013-09-01,97
"652","2006",2013-09-01,80
"653","2007",2013-09-01,54
"654","2008",2013-09-01,30
"655","2009",2013-09-01,25
"656","2010",2013-09-01,25
"657","2011",2013-09-01,30
"658","2012",2013-09-01,16
"659","2013",2013-09-01,1
"660","2014",2013-09-01,0
"661","1994",2013-10-01,0
"662","1996",2013-10-01,0
"663","1997",2013-10-01,22
"664","1998",2013-10-01,111
"665","1999",2013-10-01,159
"666","2000",2013-10-01,162
"667","2001",2013-10-01,116
"668","2002",2013-10-01,103
"669","2003",2013-10-01,95
"670","2004",2013-10-01,95
"671","2005",2013-10-01,110
"672","2006",2013-10-01,123
"673","2007",2013-10-01,76
"674","2008",2013-10-01,49
"675","2009",2013-10-01,51
"676","2010",2013-10-01,38
"677","2011",2013-10-01,40
"678","2012",2013-10-01,17
"679","2013",2013-10-01,8
"680","2014",2013-10-01,0
"681","1994",2013-11-01,0
"682","1996",2013-11-01,0
"683","1997",2013-11-01,18
"684","1998",2013-11-01,74
"685","1999",2013-11-01,140
"686","2000",2013-11-01,139
"687","2001",2013-11-01,108
"688","2002",2013-11-01,101
"689","2003",2013-11-01,89
"690","2004",2013-11-01,105
"691","2005",2013-11-01,76
"692","2006",2013-11-01,103
"693","2007",2013-11-01,56
"694","2008",2013-11-01,43
"695","2009",2013-11-01,39
"696","2010",2013-11-01,37
"697","2011",2013-11-01,33
"698","2012",2013-11-01,13
"699","2013",2013-11-01,6
"700","2014",2013-11-01,0
"701","1994",2013-12-01,0
"702","1996",2013-12-01,0
"703","1997",2013-12-01,12
"704","1998",2013-12-01,91
"705","1999",2013-12-01,116
"706","2000",2013-12-01,162
"707","2001",2013-12-01,131
"708","2002",2013-12-01,110
"709","2003",2013-12-01,105
"710","2004",2013-12-01,90
"711","2005",2013-12-01,78
"712","2006",2013-12-01,90
"713","2007",2013-12-01,72
"714","2008",2013-12-01,40
"715","2009",2013-12-01,35
"716","2010",2013-12-01,28
"717","2011",2013-12-01,29
"718","2012",2013-12-01,22
"719","2013",2013-12-01,10
"720","2014",2013-12-01,0
"721","1994",2014-01-01,0
"722","1996",2014-01-01,0
"723","1997",2014-01-01,17
"724","1998",2014-01-01,64
"725","1999",2014-01-01,142
"726","2000",2014-01-01,102
"727","2001",2014-01-01,98
"728","2002",2014-01-01,75
"729","2003",2014-01-01,89
"730","2004",2014-01-01,108
"731","2005",2014-01-01,73
"732","2006",2014-01-01,86
"733","2007",2014-01-01,65
"734","2008",2014-01-01,29
"735","2009",2014-01-01,39
"736","2010",2014-01-01,35
"737","2011",2014-01-01,48
"738","2012",2014-01-01,30
"739","2013",2014-01-01,29
"740","2014",2014-01-01,0
"741","1994",2014-02-01,0
"742","1996",2014-02-01,0
"743","1997",2014-02-01,4
"744","1998",2014-02-01,62
"745","1999",2014-02-01,105
"746","2000",2014-02-01,92
"747","2001",2014-02-01,92
"748","2002",2014-02-01,64
"749","2003",2014-02-01,63
"750","2004",2014-02-01,77
"751","2005",2014-02-01,62
"752","2006",2014-02-01,50
"753","2007",2014-02-01,49
"754","2008",2014-02-01,31
"755","2009",2014-02-01,21
"756","2010",2014-02-01,19
"757","2011",2014-02-01,24
"758","2012",2014-02-01,12
"759","2013",2014-02-01,8
"760","2014",2014-02-01,0
"761","1994",2014-03-01,0
"762","1996",2014-03-01,0
"763","1997",2014-03-01,6
"764","1998",2014-03-01,65
"765","1999",2014-03-01,130
"766","2000",2014-03-01,110
"767","2001",2014-03-01,122
"768","2002",2014-03-01,84
"769","2003",2014-03-01,64
"770","2004",2014-03-01,100
"771","2005",2014-03-01,75
"772","2006",2014-03-01,80
"773","2007",2014-03-01,53
"774","2008",2014-03-01,35
"775","2009",2014-03-01,21
"776","2010",2014-03-01,21
"777","2011",2014-03-01,26
